"","Plate","Treatment","Time","Sample_ID","N","Catalase_UmL_ng_protein","sd","se","ci"
"44",2,NA,"1","T1-HW2",2,1997.36081321445,2583.89384411628,1827.0888590408,23215.3651141562
"45",2,NA,"1","T1-HW3",2,1304.76854036724,1603.46922965839,1133.82396571541,14406.5994431616
"46",2,NA,"1","T1-HW4",2,1809.78454886634,2355.6072091991,1665.6658314366,21164.2910762841
"47",2,NA,"1","T1-HW5",2,1303.1643841452,1630.59272578149,1153.00317375355,14650.2943871718
"48",2,NA,"1","T1-HW6",2,399.004597230632,397.672235012541,281.196734066978,3572.9432741987
"49",2,NA,"2","T2-HW1",2,1268.10135302441,1620.06817107687,1145.56118975294,14555.7350148168
"50",2,NA,"2","T2-HW2",2,2121.56418954721,2752.6207245108,1946.39678033621,24731.3159887831
"51",2,NA,"2","T2-HW3",2,151.972587957313,165.054004288422,116.710805694337,1482.95139207615
"52",2,NA,"2","T2-HW4",2,2120.84502491833,2778.64161639854,1964.79632944255,24965.1044267816
"53",2,NA,"2","T2-HW5",2,1171.70613504886,1395.53875563065,986.794917515071,12538.4182545631
"54",2,NA,"2","T2-HW6",2,729.559258556215,838.305614944813,592.771585034236,7531.87712123179
"55",2,NA,"3","T3-HW1",2,1641.33815272251,2068.63709418542,1462.74731711254,18585.9668885222
"56",2,NA,"3","T3-HW2",2,1236.52433128501,1650.70085684351,1167.22176958449,14830.9587768606
"57",2,NA,"3","T3-HW3",2,777.529438082021,987.370120548011,698.176107780477,8871.16856736432
"58",2,NA,"3","T3-HW4",2,1001.19911314256,1232.51516310447,871.519829746417,11073.7093883941
"59",2,NA,"3","T3-HW5",2,1567.03517559782,2016.82774247141,1426.11257318669,18120.478331743
"60",2,NA,"3","T3-HW6",2,1177.29644377291,1464.10757138742,1035.28039211461,13154.4846215555
