"","Plate","Sample_ID","Treatment","Time","Dilution.factor","Cat_Absorbance_560nm","TotalProtein_ug","Catalase_UmL","Catalase_UmL_ng_protein"
"60",1,"T2-A6","OA","2",1,0.0725,36.1061691526484,4.69857672693584,130.13224158651
"61",2,"T2-HW1",NA,"2",1,0.087,33.314463105556,4.0823597482561,122.540163271467
"62",2,"T2-HW1",NA,"2",25,0.1262,33.314463105556,3.21639486922474,2413.66254277736
"63",2,"T2-HW2",NA,"2",1,0.0781,24.6160713430559,4.3119334421163,175.167409211002
"64",2,"T2-HW2",NA,"2",25,0.0901,24.6160713430559,4.00548869821669,4067.96096988342
"65",2,"T2-HW3",NA,"2",1,0.3693,24.4169254126034,0.860984307430537,35.2617822629756
"66",2,"T2-HW3",NA,"2",25,1.211,24.4169254126034,0.2624168952959,268.68339365165
"67",2,"T2-HW4",NA,"2",1,0.0817,27.0265417712477,4.21745658662469,156.048695475773
"68",2,"T2-HW4",NA,"2",25,0.0742,27.0265417712477,4.41683026903886,4085.64135436088
"69",2,"T2-HW5",NA,"2",1,0.0727,24.1082966452082,4.45789448533127,184.911217533792
"70",2,"T2-HW5",NA,"2",25,0.2001,24.1082966452082,2.08151134736822,2158.50105256393
"71",2,"T2-HW6",NA,"2",1,0.0712,32.8930542365628,4.49936436405167,136.787673521978
"72",2,"T2-HW6",NA,"2",25,0.2318,32.8930542365628,1.73982000627602,1322.33084359045
"73",1,"T2-OA1","Control","2",5,0.0571,36.6473203313605,5.08404773264549,693.64522244412
"74",1,"T2-OA1","Control","2",1,0.0826,36.6473203313605,4.46268565638273,121.773860026645
"75",1,"T2-OA2","Control","2",5,0.0569,32.8669637399378,5.08926848927348,774.22248820163
"76",1,"T2-OA2","Control","2",1,0.0818,32.8669637399378,4.48090286217864,136.334554589043
"77",1,"T2-OA3","Control","2",5,0.0543,32.3887673669891,5.15765579328488,796.210571221305
"78",1,"T2-OA3","Control","2",1,0.071,32.3887673669891,4.7347243329949,146.184147094791
"79",1,"T2-OA4","OA","2",5,0.0712,32.2501722159192,4.72988765722025,733.311999941119
"80",1,"T2-OA4","OA","2",1,0.0747,32.2501722159192,4.64608896132161,144.064004688577
"81",1,"T2-OA5","OA","2",5,0.0546,35.4631742237141,5.14971568284572,726.065248750649
"82",1,"T2-OA5","OA","2",1,0.0728,35.4631742237141,4.69138240111027,132.288846213128
"83",1,"T2-OA6","OA","2",5,0.0672,38.6086849785855,4.82762429383714,625.199264947097
"84",1,"T2-OA6","OA","2",1,0.0897,38.6086849785855,4.30442256012671,111.488452987046
"85",1,"T3-A1","Control","3",1,0.0666,36.1980627293728,4.84246838909703,133.777004181156
"86",1,"T3-A1","Control","3",5,0.0527,36.1980627293728,5.2002217649707,718.301115152083
"87",1,"T3-A2","Control","3",1,0.0739,26.9434034953736,4.66510305389215,173.144534419832
"88",1,"T3-A2","Control","3",5,0.0849,26.9434034953736,4.41074900721486,818.52112855234
"89",1,"T3-A3","Control","3",1,0.0814,18.4012159200147,4.49004112625427,244.007849577513
"90",1,"T3-A3","Control","3",5,0.0563,18.4012159200147,5.10496475467967,1387.1270183638
"91",1,"T3-A4","OA","3",1,0.0923,34.6632558610723,4.2479735600746,122.549756350071
"92",1,"T3-A4","OA","3",5,0.0636,34.6632558610723,4.91741722642067,709.312657490874
"93",1,"T3-A5","OA","3",1,0.072,33.8835264188508,4.71059329353213,139.023112154921
"94",1,"T3-A5","OA","3",5,0.11,33.8835264188508,3.88411757697517,573.157222327113
"95",1,"T3-A6","OA","3",1,0.0745,38.4763505100498,4.65083475877072,120.875153103617
"96",1,"T3-A6","OA","3",5,0.0982,38.4763505100498,4.12279014077371,535.756391409427
"97",2,"T3-HW1",NA,"3",25,0.1336,24.7773679720247,3.07644271610873,3104.08546983505
"98",2,"T3-HW1",NA,"3",1,0.0739,24.7773679720247,4.42501085033952,178.590835609967
"99",2,"T3-HW2",NA,"3",25,0.1189,34.9586455341695,3.36126831577754,2403.74610086949
"100",2,"T3-HW2",NA,"3",1,0.1739,34.9586455341695,2.42272368909837,69.3025617005194
"101",2,"T3-HW3",NA,"3",25,0.2129,32.7800371509253,1.93494730468797,1475.7055458625
"102",2,"T3-HW3",NA,"3",1,0.1618,32.7800371509253,2.60120511533424,79.3533303015435
"103",2,"T3-HW4",NA,"3",25,0.1859,30.1588032856017,2.25915848831234,1872.71894288897
"104",2,"T3-HW4",NA,"3",1,0.094,30.1588032856017,3.91097199816195,129.679283396139
"105",2,"T3-HW5",NA,"3",25,0.1119,29.2906631613763,3.50685130007514,2993.1477487845
"106",2,"T3-HW5",NA,"3",1,0.0852,29.2906631613763,4.1277164790489,140.922602411128
"107",2,"T3-HW6",NA,"3",25,0.1511,31.3126894845977,2.77126925691839,2212.57683588752
"108",2,"T3-HW6",NA,"3",1,0.0731,31.3126894845977,4.44690452740493,142.0160516583
"109",2,"T3-OA1","Control","3",1,0.0769,32.6234652460285,4.34392430723267,133.153369038915
"110",2,"T3-OA1","Control","3",25,0.1051,32.6234652460285,3.65481588744724,2800.75695506639
"111",2,"T3-OA2","Control","3",1,0.0876,38.28535272165,4.06735934722658,106.238001169741
"112",2,"T3-OA2","Control","3",25,0.0702,38.28535272165,4.52723829523414,2956.24695438292
"113",2,"T3-OA3","Control","3",1,0.1116,24.9602375646483,3.513241056046,140.75351033605
"114",2,"T3-OA3","Control","3",25,0.3671,24.9602375646483,0.869711890005421,871.097368116811
"115",2,"T3-OA4","OA","3",1,0.0898,29.2973253859711,4.01285976530949,136.970174322842
"116",2,"T3-OA4","OA","3",25,0.1339,29.2973253859711,3.07091088451316,2620.47033650353
"117",2,"T3-OA5","OA","3",1,0.0837,35.8894504930032,4.16592461740768,116.076578498181
"118",2,"T3-OA5","OA","3",25,0.0647,35.8894504930032,4.68385339660388,3262.69511810791
"119",2,"T3-OA6","OA","3",1,0.0765,36.1041375600084,4.35464395847312,120.613432497461
"120",2,"T3-OA6","OA","3",25,0.0707,36.1041375600084,4.5132784956704,3125.1809354045
