"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"23",1,"T1-A6","OA","1",0.5182,17.3610725970379,9.85801595597557,567.822978728717
"24",1,"T1-A6","OA","1",1.1167,17.3610725970379,12.9584008705146,746.405545975627
"25",2,"T1-HW1",NA,"1",0.3876,28.3572730717237,8.26382205682993,291.41807944397
"26",2,"T1-HW1",NA,"1",0.2298,28.3572730717237,5.45043759509212,192.20598473296
"27",2,"T1-HW2",NA,"1",0.3911,24.3762767393266,8.31401533918243,341.069943867567
"28",2,"T1-HW2",NA,"1",0.2402,24.3762767393266,5.67363724153253,232.752413430684
"29",2,"T1-HW3",NA,"1",0.3709,25.4113025586227,8.01790830676373,315.525278102797
"30",2,"T1-HW3",NA,"1",0.258,25.4113025586227,6.04186206469568,237.76278491657
"31",2,"T1-HW4",NA,"1",0.33,26.9881764964881,7.36833533247975,273.020866505692
"32",2,"T1-HW4",NA,"1",0.2721,26.9881764964881,6.3216354455985,234.237220377639
"33",2,"T1-HW5",NA,"1",0.4166,28.6976834047624,8.66618336291376,301.981983726101
"34",2,"T1-HW5",NA,"1",0.2978,28.6976834047624,6.80581439199194,237.155532591265
"35",2,"T1-HW6",NA,"1",0.3048,34.377444392109,6.9321571732959,201.648414996407
"36",2,"T1-HW6",NA,"1",0.2248,34.377444392109,5.34095285483668,155.362126222002
"37",1,"T1-OA1","Control","1",0.9327,19.2351812193634,12.4515013484427,647.329557566542
"38",1,"T1-OA1","Control","1",0.5244,19.2351812193634,9.92101135027123,515.774259526295
"39",1,"T1-OA2","Control","1",0.6553,32.2841675818836,11.0384208871974,341.914372089671
"40",1,"T1-OA2","Control","1",0.4363,32.2841675818836,8.92263747335098,276.378117872179
"41",1,"T1-OA3","Control","1",0.9067,25.3399854038624,12.3581574804331,487.693946285756
"42",1,"T1-OA3","Control","1",0.4856,25.3399854038624,9.50946563058238,375.275102926181
"43",1,"T1-OA4","OA","1",1.0981,26.9940542333812,12.9175043085406,478.53146462774
"44",1,"T1-OA4","OA","1",0.455,26.9940542333812,9.15416508626942,339.117829694113
