"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"59",1,"T2B1","Control","2",0.2898,19.5741063742126,0.0372988442205952,1.90551964455111
"60",1,"T2B1","Control","2",0.1527,19.5741063742126,0.183094462120359,9.35391167392305
"61",1,"T2B2","Control","2",0.2478,18.5930688564713,0.0485418430298287,2.61074938217817
"62",1,"T2B2","Control","2",0.1393,18.5930688564713,0.236130131886031,12.6999008990302
"63",1,"T2B3","Control","2",0.2483,17.2410014574926,0.0483371854115962,2.80361819647025
"64",1,"T2B3","Control","2",0.1474,17.2410014574926,0.202208210718824,11.7283332535738
"65",1,"T2B4","OA","2",0.1604,16.1973142452047,0.159041093189599,9.81897929384707
"66",1,"T2B4","OA","2",0.2859,16.1973142452047,0.0379588778768273,2.34352913712626
"67",2,"T2B5","OA","2",0.1624,17.8318799990099,0.275215547314711,15.4339053049926
"68",2,"T2B5","OA","2",0.2809,17.8318799990099,0.0637661313885719,3.57596234340475
"69",1,"T2B6","OA","2",0.1828,21.897181778953,0.108484158100684,4.95425206749464
"70",1,"T2B6","OA","2",0.2667,21.897181778953,0.0421884488088331,1.92666112172405
"71",1,"T2C1","HW","2",0.164,19.679045875257,0.149130351084692,7.5781291445739
"72",1,"T2C1","HW","2",0.3061,19.679045875257,0.0350829378115088,1.78275603572933
"73",1,"T2C2","HW","2",0.1242,15.1750533107834,0.318212121461262,20.9694236286565
"74",1,"T2C2","HW","2",0.307,15.1750533107834,0.0349823977328853,2.30525699096074
"75",1,"T2C3","HW","2",0.1788,19.2131932689357,0.115771655969768,6.02563323801827
"76",1,"T2C3","HW","2",0.1046,19.2131932689357,0.475312635419342,24.7388671297986
"77",2,"T2D1","HW","2",0.1934,15.1208155111054,0.18090864606912,11.9642122434635
"78",2,"T2D1","HW","2",0.3381,15.1208155111054,0.0386853465108754,2.55841667286154
"79",1,"T2D2","HW","2",0.3199,17.1986847254563,0.0337417659386732,1.96188060176085
"80",1,"T2D2","HW","2",0.1798,17.1986847254563,0.113888677381726,6.62194110769158
"81",1,"T2D3","HW","2",0.2876,20.9419824526797,0.0376641338285893,1.7984989679795
"82",1,"T2D3","HW","2",0.1708,20.9419824526797,0.132439482764724,6.32411392111435
"83",1,"T3A1","Control","3",0.1541,23.0897917694409,0.178409893836059,7.72678660845191
"84",1,"T3A1","Control","3",0.2482,23.0897917694409,0.0483779354180367,2.09520882219754
"85",2,"T3A2","Control","3",0.2465,14.8463594720841,0.093019244787637,6.26545820627223
"86",2,"T3A2","Control","3",0.4455,14.8463594720841,0.0237797445212748,1.60172226504338
"87",2,"T3A3","Control","3",0.1578,12.1853938330518,0.293295940075284,24.0694674372973
"88",2,"T3A3","Control","3",0.321,12.1853938330518,0.0440993054391667,3.61902996680758
"89",1,"T3A4","OA","3",0.2408,19.9144872353244,0.0516588819589642,2.5940352542611
"90",1,"T3A4","OA","3",0.1957,19.9144872353244,0.0889413702499661,4.46616421497419
"91",2,"T3A5","OA","3",0.3334,22.8431965259977,0.0400388792046566,1.75277042156025
"92",2,"T3A5","OA","3",0.1808,22.8431965259977,0.214089891104721,9.37215117249752
"93",1,"T3A6","OA","3",0.3037,13.2056102686982,0.0353610748508912,2.67773121661094
"94",1,"T3A6","OA","3",0.1375,13.2056102686982,0.244533089492107,18.517363795881
"95",1,"T3B1","Control","3",0.2825,19.6551453473029,0.0385828073249023,1.96298763723956
"96",1,"T3B1","Control","3",0.1526,19.6551453473029,0.183434677926513,9.33265436023263
"97",2,"T3B2","Control","3",0.1853,19.5141011248593,0.201519414548731,10.3268612404602
"98",2,"T3B2","Control","3",0.3317,19.5141011248593,0.0405522390389481,2.07809925650575
"99",2,"T3B4","OA","3",0.1703,18.2186566552117,0.246911163591762,13.5526547464261
"100",2,"T3B4","OA","3",0.2963,18.2186566552117,0.0548033063990499,3.00808711839754
"101",2,"T3B5","OA","3",0.2633,20.8893438361451,0.0768686112138057,3.67980018026219
"102",2,"T3B5","OA","3",0.1717,20.8893438361451,0.242233130144896,11.5960143145213
"103",2,"T3B6","OA","3",0.0523,20.0645903830225,1.33339009811269,66.4548875735302
"104",2,"T3B6","OA","3",0.0705,20.0645903830225,1.02180216017049,50.9256426702378
"105",2,"T3C1","HW","3",0.3781,16.3650104900448,0.030304187217936,1.85176705119564
"106",2,"T3C1","HW","3",0.1714,16.3650104900448,0.243227378423127,14.8626472663178
"107",1,"T3C3","HW","3",0.2197,20.4702864755398,0.0645978795153693,3.15569005800471
"108",1,"T3C3","HW","3",0.1368,20.4702864755398,0.247892659897078,12.1098774163853
"109",1,"T3D1","HW","3",0.137,21.9549220718873,0.246927449921038,11.2470201038528
"110",1,"T3D1","HW","3",0.2876,21.9549220718873,0.0376641338285893,1.71552118041071
"111",2,"T3D2","HW","3",0.178,16.3312419111908,0.222347123709216,13.6148325349865
"112",2,"T3D2","HW","3",0.3145,16.3312419111908,0.0465465893048419,2.85015613374427
"113",2,"T3D3","HW","3",0.1527,20.241832839135,0.314842663332627,15.5540590535813
"114",2,"T3D3","HW","3",0.3318,20.241832839135,0.0405216805993309,2.00187803749606
